Bairro,Homicidios,Populacao,Taxa
AEROLANDIA,17,11.360,150
AEROPORTO,2,8.618,23
JOSE DE ALENCAR,20,16.003,125
ALDEOTA,8,42.361,19
ALTO DA BALANCA,10,12.814,78
ALVARO WEYNE,21,23.690,89
AMADEU FURTADO,0,11.703,0
ANCURI,18,20.070,90
ANTONIO BEZERRA,16,25.846,62
AUTRAN NUNES,18,21.208,85
DE LOURDES,0,3.370,0
BARRA DO CEARA,70,72.423,97
BARROSO,45,29.847,151
BELA VISTA,17,16.754,101
BENFICA,2,8.970,22
BOM FUTURO,0,6.405,0
BOM JARDIM,53,37.758,140
BONSUCESSO,25,41.198,61
CAIS DO PORTO,19,22.382,85
CAJAZEIRAS,11,14.478,76
CAMBEBA,4,7.625,52
CANINDEZINHO,29,41.202,70
CARLITO PAMPLONA,17,29.076,58
CASTELAO,7,5.974,117
CENTRO,30,28.538,105
CIDADE 2000,5,8.272,60
CIDADE DOS FUNCIONARIOS,9,18.256,49
COACU,0,7.188,0
COCO,1,20.492,5
CONJUNTO CEARA I,7,19.221,36
CONJUNTO CEARA II,6,23.673,25
CONJUNTO ESPERANCA,15,16.405,91
CONJUNTO PALMEIRAS,46,36.599,126
COUTO FERNANDES,4,5.260,76
CRISTO REDENTOR,17,26.717,64
CURIO,11,7.636,144
DAMAS,2,10.719,19
DEMOCRITO ROCHA,5,10.994,45
DENDE,5,5.637,89
DIAS MACEDO,10,12.111,83
DIONISIO TORRES,3,15.634,19
DOM LUSTOSA,4,13.147,30
MANUEL DIAS BRANCO,3,1.447,207
EDSON QUEIROZ,24,22.210,108
VILA ELLERY,6,7.863,76
ENG LUCIANO CAVALCANTE,1,15.543,6
FARIAS BRITO,1,12.063,8
FATIMA,7,23.309,30
FLORESTA,10,28.896,35
GENIBAU,37,40.336,92
GENTILANDIA,0,3.984,0
GRANJA LISBOA,32,52.042,61
GRANJA PORTUGAL,26,39.651,66
GUAJERU,0,6.668,0
PATRIOLINO RIBEIRO,2,5.266,38
HENRIQUE JORGE,6,26.994,22
ITAOCA,10,12.477,80
ITAPERI,8,22.563,35
JACARECANGA,11,14.204,77
JANGURUSSU,57,50.479,113
JARDIM AMERICA,8,12.264,65
JARDIM CEARENSE,1,10.103,10
JARDIM DAS OLIVEIRAS,31,29.571,105
JARDIM GUANABARA,6,14.919,40
JARDIM IRACEMA,29,23.184,125
JOAO XXIII,10,18.398,54
JOAQUIM TAVORA,4,23.450,17
JOQUEI CLUBE,7,19.331,36
JOSE BONIFACIO,3,8.848,34
LAGOA REDONDA,13,27.949,47
MARAPONGA,12,10.155,118
BOA VISTA,1,12.247,8
MEIRELES,2,36.982,5
MESSEJANA,46,41.689,110
MONDUBIM,47,76.044,62
MONTE CASTELO,12,13.215,91
MONTESE,4,25.970,15
MOURA BRASIL,6,3.765,159
MUCURIPE,10,13.747,73
PADRE ANDRADE,6,12.936,46
PANAMERICANO,7,8.815,79
PAPICU,11,18.370,60
PARANGABA,11,30.947,36
PARQUE ARAXA,0,6.715,0
PARQUE DOIS IRMAOS,14,27.236,51
PARQUE IRACEMA,2,8.409,24
PARQUE MANIBURA,0,7.529,0
PARQUE PRESIDENTE VARGAS,9,7.192,125
PARQUE SANTA ROSA,8,12.790,63
PARQUE SAO JOSE,17,10.486,162
PARQUELANDIA,6,14.432,42
PARREAO,0,11.072,0
PASSARE,35,50.940,69
PAUPINA,12,14.665,82
PEDRAS,1,1.342,75
PICI,23,42.494,54
PIRAMBU,38,17.775,214
PLANALTO AYRTON SENNA,30,39.446,76
PRAIA DE IRACEMA,11,3.130,351
PRAIA DO FUTURO I,12,6.630,181
PRAIA DO FUTURO II,12,11.957,100
PREFEITO JOSE VALTER,25,33.427,75
PRESIDENTE KENNEDY,2,23.004,9
QUINTINO CUNHA,36,47.277,76
RODOLFO TEOFILO,4,19.114,21
SABIAGUABA,9,2.117,425
SALINAS,0,4.298,0
SAO BENTO,0,11.964,0
SAO GERARDO,3,14.505,21
SAO JOAO DO TAUAPE,24,27.598,87
SAPIRANGA COITE,13,32.158,40
SERRINHA,21,28.770,73
SIQUEIRA,30,33.628,89
VARJOTA,2,8.421,24
VICENTE PINZON,34,45.518,75
MANOEL SATIRO,9,37.952,24
VILA PERY,6,20.645,29
VILA UNIAO,10,15.378,65
VILA VELHA,31,61.617,50
,,,
